Question,Ground Truth,LLM Response,Ground Tool,Tool Called,Response Correctness,Tool Correctness
হ্যালো  কে বলছেন?,আমি ব্রাইট স্মাইল ডেন্টালের সারাহ থমসন ভলছি। আমি আপনার জন্য সাহায্য করতে আসছি।,"হ্যালো! আমি এমিলি, ব্রাইট স্মাইল ডেন্টাল থেকে। আমি কিভাবে সাহায্য করতে পারি?",,[],0.4925661377639806,True
আমার আগের অ্যাপয়েন্টমেন্টের সময়টা পরিবর্তন করতে চাই। আগামীকাল সকাল ১০ টাই টাইম হবে?,দয়া করে আপনার নতুন সময়টা বলুন?,"দুঃখিত, এই মুহূর্তে আমি ক্যালেন্ডার চেক করতে পারছি না। আপনি কি অন্য কোন সময়ে অ্যাপয়েন্টমেন্ট পরিবর্তন করতে চান?",check_calendar_availability,check_calendar_availability,0.3062958286274547,True
রবিবারের জন্য আমার অ্যাপয়েন্টমেন্ট অন্য কোন দিনে করা যাবে? ২৬ জানুয়ারী ২০২৫?,আপনি কোন দিন পছন্দ করছেন? আমি সেটি পরিবর্তন করে দিতে পারি।,"আমি আপনার জন্য ক্যালেন্ডার চেক করে দেখছি। একটু অপেক্ষা করুন।দুঃখিত, আমি এখন ক্যালেন্ডার চেক করতে পারছি না। আপনি কি পরবর্তী সময়ে আবার চেষ্টা করতে পারবেন?",check_calendar_availability,check_calendar_availability,0.25924595197266587,True
আমার একজন অনলাইন ডক্টরের দরকার ছিল,অনলাইন ডাক্তারি সেবায় আপনাকে স্বাগতম,"আপনার কী ধরনের ডক্টরের সাহায্য প্রয়োজন? যদি আপনি কিছু নির্দিষ্ট সমস্যা নিয়ে কথা বলতে চান, দয়া করে আমাকে জানান।",online_doctor_assistant,to_online_doctor_assistant,0.43080887578285604,True
আমার বেশ কিছু দিন থেকে দাতের সমস্যা করছে। একজন অনলাইন ডক্টরের দরকার পেলে ভাল হত,অনলাইন ডাক্তারি সেবায় আপনাকে স্বাগতম। আপনাকে কিভাবে সাহায্যয় করতে পারি?,আপনার দাতের সমস্যা নিয়ে আলোচনা করতে আমি এখানে আছি। আপনার সমস্যাটি কি হতে পারে তা একটু বিস্তারিত বলবেন?,online_doctor_assistant,to_online_doctor_assistant,0.6295213037857241,True
আজকের সকাল ১০টা থেকে আমার অ্যাপয়েন্টমেন্ট পিছিয়ে দুপুর ২টায় করা যাবে কি?,"অবশ্যই, আমি আপনার জন্য সময় পরিবর্তন করা যাবে কিনা দেখে জানাচ্ছি","দুঃখিত, আমি এখন আপনার জন্য ক্যালেন্ডার চেক করতে পারছি না। তবে আপনি চাইলে আমরা আপনার জন্য এটি ম্যানুয়ালি চেক করতে পারি।",check_calendar_availability,check_calendar_availability,0.35064369090774655,True
তাহলে কালকে ২৮ জানুয়ারী ২০২৫ যে সকাল ১০ টাই সময় হবে বললেন তাহলে সেই সময় টা বুক করে দেন।,আপনার জন্য নতুন সময় খুঁজে দিচ্ছি।,"আপনার জন্য ২৮ জানুয়ারি ২০২৫ তারিখে সকাল দশটায় অ্যাপয়েন্টমেন্ট বুক করার চেষ্টা করছি। অনুগ্রহ করে একটু অপেক্ষা করুন।দুঃখিত, অ্যাপয়েন্টমেন্ট বুক করতে গিয়ে সমস্যা হচ্ছে। আপনি কি অন্য কোনো সময় বা দিন পছন্দ করবেন?",book_calendar,book_calendar,0.3027577406734213,True
আমাকে একটা ইমেইল পাঠাই দিয়েন একটা দৈনিক সুস্বাস্থ্য সুরক্ষা জীবন চালনা করার বিষয়ে?,আপনাকে পাঠান মেইল সফল হয়েছে,"দুঃখিত, আমি সুস্বাস্থ্য সুরক্ষা জীবন চালনা করার বিষয়ে ইমেইল পাঠাতে পারছি না। আমি শুধুমাত্র ডেন্টাল সম্পর্কিত বিষয়গুলোতে সহায়তা করতে পারি।",send_email,[],0.13808565064733025,False
হায়,আমি ব্রাইট স্মাইল ডেন্টালের সারাহ থমসন ভলছি। আমি আপনার জন্য সাহায্য করতে আসছি।,"হ্যালো! আমি এমিলি, ব্রাইট স্মাইল ডেন্টালের পক্ষ থেকে কথা বলছি। আপনাকে কিভাবে সাহায্য করতে পারি?",,[],0.35533707567636774,True
আমার একটা ইমেইল পাঠাই দিয়েন একটা দৈনিক সুস্বাস্থ্য সুরক্ষা জীবন চালনা করার বিষয়ে?,আপনাকে পাঠান মেইল সফল হয়েছে,"দুঃখিত, আমি এই বিষয়ে ইমেইল পাঠাতে সক্ষম নই। অন্য কোনোভাবে আমি আপনাকে সাহায্য করতে পারি কি?",send_email,[],0.14636048962502987,False
"বাই, পরে কথা হবে",আপনাকে সাহায্য করতে পেরে আমি খুশি। বিদায়।,"ঠিক আছে, ধন্যবাদ! আপনার দিনটি ভালো কাটুক।",,[],0.44015526240893205,True
